Crash_Key, WZ_Related, WZ_Loc, WZ_Type, Workers
2001000696, 1, 8, 4, 1
2001002257, 1, 3, 4, 1
2001003763, 1, 1, 1, 1
2001004604, 1, 9, 4, 2
2001004974, 1, 1, 1, 1
2001005535, 1, 77, 77, 77
2001006447, 1, 8, 8, 1
2001006778, 1, 3, 2, 1
2001015255, 1, 8, 8, 1
2001015336, 1, 77, 1, 1
2001015339, 1, 4, 1, 2
2001015618, 1, 77, 2, 77
2001015961, 1, 4, 8, 1
2001016208, 1, 4, 1, 2
2001016331, 1, 1, 1, 1
2001016461, 1, 4, 4, 1
2001017029, 1, 1, 1, 2
2001017134, 1, 3, 1, 2
2001017356, 1, 4, 3, 1
2001017501, 1, 2, 8, 2
2001017889, 1, 1, 1, 2
2001018205, 1, 3, 1, 1
2001018575, 1, 8, 8, 1
2001019093, 1, 1, 2, 2
2001019184, 1, 8, 8, 2
2001019195, 1, 8, 8, 1
2001019897, 1, 4, 1, 2
2001020166, 1, 8, 8, 2
2001020216, 1, 4, 2, 1
2001020275, 1, 3, 1, 2
2001020970, 1, 2, 3, 2
2001021026, 1, 2, 8, 1
2001021287, 1, 4, 1, 1
2001021398, 1, 2, 8, 1
2001021458, 1, 77, 77, 1
2001022001, 1, 2, 1, 2
2001022607, 1, 5, 1, 1
2001022726, 1, 4, 8, 1
2001022959, 1, 1, 1, 1
2001022974, 1, 2, 1, 1
2001023000, 1, 8, 8, 1
2001023263, 1, 3, 2, 2
2001023488, 1, 8, 8, 2
2001023850, 1, 77, 1, 2
2001024006, 1, 4, 8, 1
2001024117, 1, 4, 1, 1
2001024257, 1, 4, 3, 2
2001024268, 1, 2, 4, 1
2001024270, 1, 2, 8, 2
2001024342, 1, 2, 2, 2
2001024745, 1, 4, 1, 1
2001024825, 1, 4, 1, 1
2001025253, 1, 4, 2, 1
2001025482, 1, 8, 1, 77
2001025592, 1, 1, 8, 2
2001025628, 1, 3, 1, 2
2001025803, 1, 3, 1, 2
2001026120, 1, 4, 3, 2
2001026124, 1, 2, 8, 1
2001026221, 1, 8, 4, 2
2001026363, 1, 4, 8, 1
2001026567, 1, 4, 3, 2
2001026831, 1, 2, 1, 2
2001026955, 1, 4, 4, 2
2001027036, 1, 4, 8, 2
2001027037, 1, 4, 4, 2
2001027188, 1, 3, 2, 1
2001027223, 1, 4, 1, 9
2001027583, 1, 4, 2, 1
2001027611, 1, 5, 3, 2
2001027632, 1, 3, 2, 2
2001027711, 1, 8, 2, 1
2001028028, 1, 4, 2, 2
2001028314, 1, 3, 1, 2
2001028316, 1, 77, 77, 77
2001028455, 1, 4, 1, 2
2001028499, 1, 4, 3, 2
2001028534, 1, 4, 3, 2
2001028612, 1, 3, 1, 2
2001028699, 1, 4, 3, 1
2001028894, 1, 8, 3, 1
2001028937, 1, 5, 1, 2
2001028953, 1, 8, 8, 2
2001029091, 1, 8, 8, 1
2001029195, 1, 2, 3, 1
2001029210, 1, 3, 1, 2
2001029215, 1, 2, 2, 1
2001029259, 1, 2, 1, 1
2001029343, 1, 4, 1, 1
2001029486, 1, 4, 3, 1
2001029627, 1, 8, 4, 1
2001029771, 1, 77, 77, 77
2001029786, 1, 2, 1, 1
2001029831, 1, 3, 1, 1
2001029937, 1, 9, 1, 2
2001029960, 1, 8, 8, 2
2001029988, 1, 4, 1, 1
2001030084, 1, 8, 4, 1
2001030196, 1, 8, 4, 1
2001030242, 1, 1, 2, 2
2001030437, 1, 4, 8, 1
2001030609, 1, 8, 8, 1
2001030661, 1, 3, 8, 2
2001030672, 1, 4, 1, 1
2001030708, 1, 2, 1, 1
2001030802, 1, 4, 1, 2
2001031074, 1, 2, 1, 1
2001031174, 1, 8, 1, 2
2001031235, 1, 4, 1, 9
2001031426, 1, 3, 1, 9
2001031999, 1, 4, 2, 1
2001032019, 1, 9, 9, 9
2001032183, 1, 4, 2, 1
2001032191, 1, 4, 8, 2
2001032201, 1, 1, 1, 2
2001032468, 1, 4, 8, 1
2001032481, 1, 8, 8, 2
2001032856, 1, 2, 2, 1
2001032986, 1, 4, 8, 1
2001032998, 1, 4, 1, 9
2001033018, 1, 8, 3, 2
2001033087, 1, 5, 1, 2
2001033161, 1, 4, 1, 2
2001033195, 1, 4, 3, 1
2001033330, 1, 8, 4, 1
2001033480, 1, 2, 1, 1
2001033497, 1, 4, 3, 2
2001033531, 1, 4, 1, 1
2001033539, 1, 3, 1, 1
2001033771, 1, 4, 1, 1
2001033919, 1, 77, 77, 77
2001034015, 1, 4, 3, 1
2001034109, 1, 3, 2, 2
2001034148, 1, 4, 1, 2
2001034223, 1, 8, 4, 1
2001034314, 1, 4, 4, 1
2001034323, 1, 4, 1, 2
2001034458, 1, 1, 1, 2
2001034596, 1, 2, 3, 1
2001034794, 1, 4, 2, 2
2001034801, 1, 2, 2, 2
2001034839, 1, 1, 1, 1
2001034935, 1, 1, 2, 2
2001034955, 1, 4, 4, 1
2001035096, 1, 2, 3, 1
2001035130, 1, 3, 1, 1
2001035180, 1, 3, 1, 2
2001035214, 1, 3, 2, 9
2001035217, 1, 5, 8, 1
2001035219, 1, 4, 3, 2
2001035289, 1, 3, 1, 2
2001035318, 1, 2, 2, 1
2001035324, 1, 2, 3, 1
2001035357, 1, 4, 1, 2
2001035360, 1, 4, 1, 2
2001035447, 1, 4, 1, 2
2001035474, 1, 3, 1, 1
2001035559, 1, 2, 1, 1
2001035951, 1, 1, 2, 2
2001036026, 1, 9, 1, 2
2001036103, 1, 4, 1, 1
2001036117, 1, 4, 3, 1
2001036242, 1, 2, 8, 2
2001036288, 1, 3, 1, 2
2001036629, 1, 1, 8, 9
2001036749, 1, 1, 1, 2
2001037056, 1, 2, 1, 1
2001037083, 1, 2, 2, 1
2001037453, 1, 8, 8, 1
2001037464, 1, 4, 8, 2
2001037473, 1, 4, 4, 77
2001037579, 1, 4, 1, 1
2001037714, 1, 8, 1, 2
2001037731, 1, 4, 1, 1
2001038049, 1, 4, 3, 1
2001038193, 1, 4, 3, 9
2001038332, 1, 4, 8, 2
2001038343, 1, 4, 1, 2
2001038525, 1, 8, 8, 1
2001038540, 1, 4, 3, 2
2001038621, 1, 1, 1, 2
2001038628, 1, 4, 3, 1
2001038681, 1, 4, 1, 1
2001038761, 1, 8, 8, 2
2001038772, 1, 5, 1, 2
2001038793, 1, 8, 1, 2
2001038827, 1, 9, 9, 9
2001038947, 1, 3, 1, 2
2001038956, 1, 4, 3, 2
2001038962, 1, 8, 8, 1
2001038997, 1, 4, 3, 1
2001039055, 1, 4, 4, 1
2001039151, 1, 2, 1, 1
2001039276, 1, 4, 1, 2
2001039443, 1, 3, 1, 1
2001039624, 1, 4, 8, 2
2001039700, 1, 4, 1, 1
2001039717, 1, 4, 3, 1
2001039788, 1, 2, 2, 2
2001039980, 1, 4, 8, 2
2001040126, 1, 4, 1, 1
2001040141, 1, 1, 1, 2
2001040214, 1, 1, 1, 2
2001040218, 1, 8, 8, 2
2001040265, 1, 4, 1, 1
2001040398, 1, 4, 1, 2
2001040448, 1, 4, 4, 1
2001040547, 1, 8, 8, 2
2001040974, 1, 4, 8, 1
2001041176, 1, 4, 3, 1
2001041274, 1, 2, 2, 2
2001041534, 1, 4, 3, 2
2001041537, 1, 2, 1, 2
2001041753, 1, 1, 1, 1
2001041819, 1, 5, 1, 2
2001041837, 1, 8, 3, 2
2001041844, 1, 4, 1, 1
2001041909, 1, 4, 8, 1
2001041928, 1, 3, 1, 2
2001041997, 1, 1, 2, 2
2001042092, 1, 3, 1, 2
2001042191, 1, 2, 1, 1
2001042340, 1, 1, 1, 2
2001042352, 1, 8, 1, 2
2001042424, 1, 4, 1, 2
2001042474, 1, 2, 8, 1
2001042484, 1, 3, 1, 1
2001042711, 1, 4, 1, 9
2001042803, 1, 4, 8, 2
2001042805, 1, 4, 8, 2
2001043007, 1, 5, 3, 2
2001043027, 1, 3, 1, 1
2001043070, 1, 2, 1, 1
2001043485, 1, 8, 2, 2
2001043488, 1, 2, 1, 1
2001043550, 1, 4, 1, 1
2001043571, 1, 4, 8, 2
2001043784, 1, 3, 2, 2
2001043911, 1, 3, 2, 2
2001043931, 1, 8, 3, 2
2001044006, 1, 3, 1, 2
2001044114, 1, 2, 1, 2
2001044129, 1, 3, 9, 2
2001044148, 1, 4, 8, 1
2001044249, 1, 4, 8, 2
2001044257, 1, 4, 3, 1
2001044441, 1, 4, 8, 2
2001044471, 1, 1, 1, 1
2001044594, 1, 3, 4, 1
2001044681, 1, 4, 2, 2
2001044835, 1, 4, 1, 1
2001045077, 1, 3, 1, 1
2001045204, 1, 1, 9, 2
2001045481, 1, 4, 1, 2
